ssn,first_name,middle_name,last_name,gender,current_age,street_address,email,marital_status,current_timestamp,street_address_med,state_med,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,deceased_status
g175336932,charles,michael,Mr,m,33, 87  mclachlan  avenue ,qnjeklgaob@mail.com.au,married,2018-7-31t20:11+00:00, 87    mclachlan    avenue ,nsw,92,27,71,213,,insomnia,0
d113140493,anthony,rudolph,edwards,m,26, 10  coolong  crescent ,edwards26@gmail.com,married,2018-7-31t13:31+00:00, 10    coolong    crescent ,nsw,103,32,69,204,,pain-elective-catheter-ablation-of-av-mode,0
i123569007,jesse,,kennedy,m,67, 8  opal  street ,jesse66@hotmail.com,married,2018-7-31t04:35+00:00, 8    opal    street ,,59,16,72,303,,pregnancy,0
d118382215,deana,l,anderson,f,31, 12  winton  court ,ndimfoqfhc@yahoo.com,married-de-facto,2018-7-31t03:41+00:00, 12    winton    court ,qld,80,35,68,168,,cold,0
a105476773,teddy,g,archibald,m,15, 261  autumn  street ,tlgmmekaba@mail.com,n/a,2018-7-31t11:29+00:00, 261    autumn    street ,vic,58,24,72,148,0,gastroenteritis,0
g171046551,dorothy,denise,olsen,f,30, 21  dunstan  street ,olsen3@gmail.com,separated,2018-7-31t03:37+00:00, 21    dunstan    street ,act,115,44,83,130,,worsening-of-lower-muskuloskeletal-back-pain,0
g178051216,ronald,ryan,morgan,m,29, 6  howard  close ,morgan48@mail.com.au,not-married,2018-7-31t12:19+00:00, 6    howard    close ,nt,101,31,72,182,0,possible-community-acquired-pneumonia,0
b176441474,kirk,dawayne,barber,m,28, 10  bryan  street ,barber.kirk@aol.com,married-de-facto,2018-7-31t23:29+00:00, 10    bryan    street ,qld,56,17,74,185,,falls,0
e103707918,donald,joseph,ward,m,19, 5  undoolya  street ,donald.ward@mail.com.au,married,2018-7-31t23:42+00:00, 5    undoolya    street ,nt,93,32,69,155,,hypertension,0
e133572761,jerry,marion,hyatt,m,19, 17  adelaide  road ,jerry87@mail.com.au,married,2018-7-31t10:16+00:00, 17    adelaide    road ,sa,148,40,72,91,0,fall,0
e154882901,estella,leighlinton,stoll,f,30, 1  edna  drive ,stoll.estella@yahoo.com,married-de-facto,2018-7-31t14:07+00:00, 1    edna    drive ,nsw,134,53,78,323,,s/p-partial-palmar-fasciectomy,0
g132869160,kathy,lynn,juarez,f,53, 15  benny  avenue ,kathy.juarez@gmail.com,married,2018-7-31t14:12+00:00, 15    benny    avenue ,sa,136,43,74,253,,s/p-stent-placement,0
f182660113,robert,moxley,grady,m,53, 6  sunset  drive  coconut    grove  0810  nt ,sngljicfcq@aol.com,not-married,2018-7-31t02:32+00:00, 6    sunset    drive ,nt,85,23,73,185,0,intermittent-cough,0
f187247051,malcolm,nathan,nicol,m,27, 9  shadforth  street ,srfaepkqro@gmail.com,married,2018-7-31t04:53+00:00, 9    shadforth    street ,vic,90,24,68,246,1,low-energy,0
e117524646,melissa,l,venters,f,45, 12  landau  court ,venters30@mail.com.au,married-de-facto,2018-7-31t09:42+00:00, 12    landau    court ,qld,88,30,80,132,,s/p-left-cataract-surgery,0
b100733206,sarah,louise,bagwell,f,26, 111  thomas  street ,sarah.bagwell@yahoo.com,married-de-facto,2018-7-31t05:44+00:00, 111    thomas    street ,sa,144,53,70,200,,achilles-tendonitis,0
a196895274,michael,cornell,gaspar,m,35, 45  o'briens  lane ,jlgjfgmlba@mail.com.au,married,2018-7-31t06:33+00:00, 45    o'briens    lane ,vic,132,45,71,201,0,atrial-fibrillation,0
b196161782,yvonne,jean,austin,f,27, 15  gregory  court ,yvonne.austin@gmail.com,married-de-facto,2018-7-31t11:14+00:00, 15    gregory    court ,nt,102,36,68,232,,insect-bites,0
b139334026,lawrence,long,schillaci,m,28, 7  bennelong  crescent ,schillaci51@mail.com.au,not-married,2018-7-31t22:22+00:00, 7    bennelong    crescent ,act,139,38,69,127,0,constipation,0
a192947040,danesia,alexandra,ray-welborn,f,41, 88  captain  cook  drive ,ray-welborn.danesia@aol.com,married,2018-7-31t01:39+00:00, 88    captain    cook    drive ,nsw,90,37,73,227,,post-lp-back-pain,0
c157788209,william,atmaram,rose,m,37, 24  binya  street ,poflsbnhpk@gmail.com,married,2018-7-31t01:42+00:00, 24    binya    street ,nsw,96,26,78,161,0,drowsiness,0
a107000021,brandon,wayne,williams,m,29, 162  geoffrey  road ,brandon.williams@hotmail.com,not-married,2018-7-31t02:09+00:00, 162    geoffrey    road ,nsw,99,32,79,83,0,light-headed-during-lp-procedure,0
b178451790,lester,douglas,kunkel,m,38, 1  blake  street ,,,2018-7-31t02:39+00:00, 1    blake    street ,nt,130,42,68,203,,worseing-depression,0
d134871561,brenning,carpenter,lindblow,f,31, 18  market  street ,lindblow58@yahoo.com,not-married,2018-7-31t09:08+00:00, 18    market    street ,,147,54,76,254,,cataract-surgery,0
b122160366,timothy,linwood,dobowick,m,49, 19  newcomen  street ,timothy26@yahoo.com,married,2018-7-31t03:15+00:00, 19    newcomen    street ,qld,80,24,65,223,0,benign-hypertrophy-of-prostate-with-urninary-obstruction,0
f192442016,joshua,donnell,bobitt,m,55, 205  greenwich  road ,joshua18@mail.com.au,married,2018-7-31t20:41+00:00, 205    greenwich    road ,nsw,60,15,83,176,0,sleep-difficulties-ie-wander-and/or-awaken-during-night-reported-on-npi-q-by-study-partner,0
b184859968,janice,ann,jones,f,36, 52  auburn  street ,janice53@hotmail.com,separated,2018-7-31t05:11+00:00, 52    auburn    street ,nsw,93,39,73,228,,dysphagia,0
g133224077,harold,,moore,m,23, wallaby  crk ,moore.harold@gmail.com,,2018-7-31t24:07+00:00, wallaby    crk ,vic,60,18,69,256,,bloody,0
c103368182,ada,jensie,knull,f,40, 28  rothdale  road ,ada81@yahoo.com,not-married,2018-7-31t05:35+00:00, 28    rothdale    road ,nt,56,20,73,195,,basal-cell-carcinoma-excision-left-ear-lobe-mohs-procedure,0
c193126077,jason,l,gulledge,m,38, 3  brooks  place ,gulledge78@yahoo.com,married,2018-7-31t02:10+00:00, 3    brooks    place ,nt,79,25,75,80,,hyperglycemia,0
g102226232,savion,william,stimpson,m,30, 8  blackburn  avenue ,stimpson.savion@hotmail.com,not-married,2018-7-31t03:52+00:00, 8    blackburn    avenue ,sa,85,25,75,134,0,fall,0
g128844600,gary,chester,tapson,f,18, pialba  road ,tapson.gary@gmail.com,n/a,2018-7-31t24:35+00:00, pialba    road ,qld,81,34,64,212,,headache,0
c150188450,ronald,ashley,taylor,m,45, 179  princess  road ,glenjekage@aol.com,married-de-facto,2018-7-31t14:50+00:00, 179    princess    road ,wa,82,22,74,216,,palpitations,0
h128763029,james,e,kanipe,m,34, 14  crowley  drive ,kanipe.james@yahoo.com,married,2018-7-31t08:36+00:00, 14    crowley    drive ,qld,59,17,76,223,,spinal-headache,0
c100879419,michael,william,towery,m,26, 9  hillside  grove ,tjtahnhrdm@yahoo.com,not-married,2018-7-31t16:58+00:00, 9    hillside    grove ,vic,112,38,69,192,,malory-weiss-syndrome,0
d171689350,helen,,brickhouse,f,45, 22  macleay  street ,rkmherggme@hotmail.com,,2018-7-31t11:48+00:00, 22    macleay    street ,nsw,134,42,72,42,,dizziness/lightheaded,0
i126619761,wendy,mae,goza,f,40, 9  grenadier  circle ,goza88@hotmail.com,married,2018-7-31t16:21+00:00, 9    grenadier    circle ,qld,120,38,76,110,,cataract-of-right-eye,0
h118430705,robert,willard,utt,m,24, 2  gilba  road ,lbiqgkmhdp@aol.com,separated,2018-7-31t08:22+00:00, 2    gilba    road ,nsw,94,32,70,147,1,fall,0
i125819292,jane,elizabeth,williams,f,42, 9  clarkes  road ,jane12@mail.com,married,2018-7-31t05:56+00:00, 9    clarkes    road ,qld,119,37,76,122,,vomiting,0
a153137036,chico,s,williams,m,16, mount  forbes  road ,williams5@yahoo.com,n/a,2018-7-31t01:17+00:00, mount    forbes    road ,qld,94,30,74,82,,constipation,0
c185508382,jewel,noelle,moon,f,44, 124  wrigley  street  maroochydore  4558  qld ,jewel.moon@hotmail.com,married,2018-7-31t18:40+00:00, 124    wrigley    street ,qld,88,37,69,193,,vomiting,0
f104077165,michael,william,robinson,m,49, 1067  oakey  flat  road ,robinson74@mail.com,not-married,2018-7-31t17:24+00:00, 1067    oakey    flat    road ,qld,81,27,78,195,0,bowel-obstruction,0
e125941191,courtland,allan,hooker,m,28, 6  clubb  crescent ,courtland56@aol.com,divorced,2018-7-31t09:23+00:00, 6    clubb    crescent ,nsw,132,34,72,137,0,bilateral-eye-irritation/possible-infection,0
e140960626,mark,martin,peterson,m,28, 71  rivett  street ,peterson89@yahoo.com,married-de-facto,2018-7-31t04:48+00:00, 71    rivett    street ,act,55,16,78,233,0,dry-mouth,0
b106651015,allison,hall,smith,f,22, 59  victory  road ,allison83@yahoo.com,not-married,2018-7-31t16:48+00:00, 34    ruby    avenue ,vic,68,22,73,154,,upper-chest-actinic-keratosis,0
d177222651,annette,t,brown,f,33, boonah  road ,brown.annette@gmail.com,married,2018-7-31t19:11+00:00, boonah    road ,qld,73,23,71,162,,worsened-low-energy,0
h197151284,kathy,mansi,burke,f,26, 33  tomlinson  crescent ,kathy.burke@gmail.com,not-married,2018-7-31t06:09+00:00, 33    tomlinson    crescent ,wa,52,22,72,236,,depressed-mood,0
a190299550,hettie,lynn,abernathy,f,41, 26  wandella  avenue ,hettie33@mail.com.au,,2018-7-31t13:16+00:00, 26    wandella    avenue ,tas,86,32,74,129,,fall,0
d169318152,monica,elsie,richardson,f,43, 21  banksia  street ,richardson6@aol.com,married,2018-7-31t21:19+00:00, 21    banksia    street ,nt,103,32,73,172,,breast-cancer,0
i175700079,adam,kyle,diaz,m,46, plane  tree  avenue ,adam55@hotmail.com,married-de-facto,2018-7-31t07:38+00:00, plane    tree    avenue ,sa,81,21,79,196,,drowiness,0
a138929884,susan,ann,hayes,f,37, 5459  merion  terrace ,susan.hayes@gmail.com,married,2018-7-31t15:29+00:00, 5459    merion    terrace ,qld,125,42,70,274,,left-hand-infection-/-cellulitis-secondary-to-cat-bite,0
i138908309,helen,chaniese,stuart,f,25, 80  sandpiper  grove ,obtgptegmh@mail.com.au,separated,2018-7-31t24:38+00:00, 80    sandpiper    grove ,nt,83,29,74,151,,insomnia,0
f122108734,james,allen,brown,m,31, mt  chandler  drive ,james1@hotmail.com,married-de-facto,2018-7-31t24:51+00:00, mt    chandler    drive ,sa,93,27,78,165,,depressed-mood,0
d131043346,james,baric,tolley,m,28, 5  hood  street ,james.tolley@mail.com.au,married,2018-7-31t08:39+00:00, 5    hood    street ,qld,109,31,76,164,0,sinusitis,0
h199283843,john,forrest,smith,m,44, 4  vernier  circuit ,smith76@mail.com.au,married,2018-7-31t23:28+00:00, 4    vernier    circuit ,nt,118,40,66,217,,headache,0
g189930915,robin,nishelle,olsen,f,33, 18  mars  crescent ,robin43@gmail.com,married,2018-7-31t13:51+00:00, 18    mars    crescent ,qld,48,17,73,177,,epistaxis-of-left-nares,0
f194032642,princess,wiggins,lanier,f,30, 62  allora  avenue ,princess96@mail.com,not-married,2018-7-31t13:48+00:00, 62    allora    avenue ,vic,60,22,83,155,,trip,0
a158415373,cassie,g,clemente,f,22, greatorex  road ,ajcngdtkbb@mail.com,married,2018-7-31t01:44+00:00, greatorex    road ,nt,53,22,71,63,,vertigo,0
h166855851,may,howse,elliott,f,78, 15  lawton  crescent ,may.elliott@mail.com,married,2018-7-31t13:02+00:00, 15    lawton    crescent ,sa,66,26,79,123,,high-blood-pressure,0
b130805117,mary,katherine,thornburg,f,31, 30  bennett  street ,ooqthijnmr@yahoo.com,not-married,2018-7-31t15:02+00:00, 30    bennett    street ,nsw,141,53,73,78,,cataract-os,0
h160992886,ronnie,wade,fine,m,52, 11  nebo  road ,ronnie78@mail.com.au,not-married,2018-7-31t16:14+00:00, 11    nebo    road ,qld,132,41,71,120,,broken-ankle,0
d149104444,marilyn,laines,jackson,f,44, 8  lillian  street ,jackson.marilyn@gmail.com,married,2018-7-31t22:54+00:00, 8    lillian    street ,vic,68,26,73,211,,bilateral-ankle-swelling,0
d190662791,james,scott,roberts,m,34, 14  cooper  avenue ,roberts9@hotmail.com,married,2018-7-31t10:23+00:00, 14    cooper    avenue ,qld,112,30,75,151,,head-pain,0
g122455093,kristina,ann,bradley,f,34, 338  lennox  street ,kristina22@mail.com.au,married,2018-7-31t13:51+00:00, 338    lennox    street ,qld,117,49,74,117,,diarrhea,0
h105219788,david,ervin,smith,m,38, 81  anderson  avenue ,smith.david@aol.com,married,2018-7-31t01:52+00:00, 81    anderson    avenue ,nsw,62,19,72,168,0,non-cardiac-chest-pain,0
a191476924,jules,sherann,bennett,f,50, 8  lalchere  street ,bennett.jules@mail.com.au,married-de-facto,2018-7-31t14:13+00:00, 8    lalchere    street ,nsw,116,37,82,141,,low-energy,0
e182094802,tramaine,lee,avera,m,35, 45  hertford  road ,avera82@yahoo.com,divorced,2018-7-31t03:50+00:00, 45    hertford    road ,vic,66,23,74,86,,low-energy-related-to-mild-depression,0
c107023503,sonia,siebold,binkowski,f,20, 35  jacquier  crescent ,binkowski5@mail.com.au,married,2018-7-31t15:12+00:00, 35    jacquier    crescent ,sa,124,41,75,137,,arm-pain-left,0
i192864007,laura,,suddreth,f,30, 24  lynbara  avenue ,laura.suddreth@gmail.com,married,2018-7-31t08:21+00:00, 24    lynbara    avenue ,nsw,98,56,71,165,,wandering,0
f139838251,iris,unique,hunter,f,51, dempsey  street ,iris.hunter@gmail.com,married,2018-7-31t08:05+00:00, dempsey    street ,qld,78,33,73,191,,asthma-exacerbation,0
a138343679,pam,brown,mitchell,f,47, 169  wrenswood  drive ,pam35@mail.com.au,married,2018-7-31t12:13+00:00, 169    wrenswood    drive ,tas,104,39,77,122,,dizziness,0
i187143843,william,sedberry,davenport,m,55, 11  macklin  way ,qgarbscdjf@gmail.com,not-married,2018-7-31t07:17+00:00, 11    macklin    way ,vic,136,35,69,194,0,hip-pain---worsened-over-past-6-mos.,0
e175341015,james,boyd,bowles,m,40, 4  morris  road ,james35@yahoo.com,married,2018-7-31t08:09+00:00, 4    morris    road ,qld,140,35,68,138,0,skin-rash,0
f152360355,miriam,barnes,moore,f,16, 145  gulnare  road ,miriam.moore@hotmail.com,n/a,2018-7-31t06:50+00:00, 145    gulnare    road ,nt,75,27,79,170,,rash,0
h147459055,stephen,terrell,bothwell,m,25, 12  atlas  close ,bothwell35@gmail.com,not-married,2018-7-31t05:43+00:00, 12    atlas    close ,qld,91,32,76,176,0,headaches,0
a199230138,kareem,frank,turner,m,28, 510  marmion  street ,dmkoghaimg@aol.com,married,2018-7-31t16:42+00:00, 510    marmion    street ,wa,73,20,76,159,0,imbalance,0
i177818289,charles,barnette,johnson,m,45, howells  road ,johnson.charles@mail.com,not-married,2018-7-31t16:01+00:00, howells    road ,vic,76,19,79,168,0,headache,0
a193231144,joshua,,byrd,m,31, 11  gillies  road ,,divorced,2018-7-31t13:09+00:00, 11    gillies    road ,tas,146,52,82,166,,muscle-pain-proximal-to-sternum,0
a102523143,jackie,frederick,newman,m,25, 1  railway  parade ,newman64@yahoo.com,not-married,2018-7-31t03:11+00:00, 1    railway    parade ,nsw,129,39,77,252,0,urinary-frequency-at-night-only,0
i170659098,michael,r,loebell,m,43, 14  lorn  street ,loebell.michael@yahoo.com,married,2018-7-31t05:57+00:00, 14    lorn    street ,nsw,148,48,69,162,0,head-injury-with-fall,0
e197391308,ashley,w,hooker,f,46, 65  shaftesbury  road ,hooker.ashley@aol.com,not-married,2018-7-31t23:25+00:00, 65    shaftesbury    road ,nsw,129,51,73,135,,worsening-depression-and-crying,0
e189347157,judy,marie,prichard,f,39, 15  dress  circle  road ,prichard.judy@hotmail.com,married,2018-7-31t07:09+00:00, 15    dress    circle    road ,nsw,140,49,81,171,,crying,0
a117633387,gary,duff,mcghee,m,31, 28  roscommon  crescent ,gary.mcghee@gmail.com,married-de-facto,2018-7-31t09:31+00:00, 28    roscommon    crescent ,nsw,126,38,80,185,,blurred-vision,0
d101472614,gerald,allan,jones,m,30,,jones.gerald@mail.com.au,not-married,2018-7-31t18:36+00:00,,wa,62,21,71,167,0,drowsiness,0
b188045469,holly,sierra,lineberger,f,20, 27  white  street ,lineberger3@hotmail.com,married,2018-7-31t08:22+00:00, 27    white    street ,nsw,51,18,81,158,,night-sweats,0
f108024225,elaine,peeler,lindsey,f,47, 64  george  street ,lindsey.elaine@mail.com.au,married-de-facto,2018-7-31t05:55+00:00, 64    george    street ,vic,114,35,82,193,,heart-attack,0
a165585759,betty,salefsky,bennett,f,23, 26  selina  avenue ,betty.bennett@hotmail.com,married-de-facto,2018-7-31t18:20+00:00, 26    selina    avenue ,nsw,77,28,79,206,,mild-shingles,0
h151872911,timothy,l,mills,m,53, pell  subdivision ,mills46@hotmail.com,married,2018-7-31t11:14+00:00, pell    subdivision ,,103,29,75,259,,constipation,0
d153529135,cynthia,elizabeth,scott,f,19, 53  millswyn  street ,cynthia.scott@aol.com,married,2018-7-31t19:28+00:00, 53    millswyn    street ,vic,49,16,77,113,,bradycardia-w/-r-bundle-branch-block,0
d106500123,michael,harold,hoover,m,59, 30  fanfare  street ,michael.hoover@aol.com,married-de-facto,2018-7-31t04:28+00:00, 30    fanfare    street ,qld,135,36,79,188,0,bloody-stool,0
i183992450,racquel,mcfalll,watkins,m,20, 117  barclay  street ,racquel.watkins@hotmail.com,married,2018-7-31t08:59+00:00, 117    barclay    street ,qld,115,33,74,222,,sore-left-elbow,0
d187450480,william,lewis,whitehurst,m,39, 53  ring  street ,william90@gmail.com,married,2018-7-31t21:04+00:00, 53    ring    street ,sa,78,27,78,123,,nausea,0
e108048465,mark,s,andrews,m,37, moselle  downs ,atkcrfiqcr@yahoo.com,married,2018-7-31t13:50+00:00, moselle    downs ,qld,106,32,77,181,,depressed-mood,0
e110844202,travis,paul,heath,m,34, 21  swan  avenue ,travis80@mail.com,not-married,2018-7-31t21:57+00:00, 21    swan    avenue ,nsw,71,24,80,228,,falls-asleep-earlier-than-usual--last-2-months.,0
d190201018,brenda,knight,cook,f,27, glen  niven  road ,ncbdfqhgtq@mail.com,married-de-facto,2018-7-31t19:08+00:00, glen    niven    road ,qld,97,42,77,218,,hypertension,0
e187245873,shawnte,anita,osborne,f,36, 33  craig  road ,osborne59@aol.com,not-married,2018-7-31t23:32+00:00, 33    craig    road ,vic,136,45,73,59,,fever,0
f106501600,melissa,johnson,marshall,f,38, 183  kent  street ,marshall91@gmail.com,married,2018-7-31t18:04+00:00, 183    kent    street ,nsw,114,42,77,161,,i-am-drowsy-during-the-day-because-i-have-decrease-my-exercising,0
b176907045,crystal,roseanne,allred,f,41, 1  barina  road ,allred20@mail.com.au,married-de-facto,2018-7-31t16:26+00:00, 1    barina    road ,vic,147,58,77,197,,low-energy,0
b184576636,kyle,allen,long,m,40, 6  sandy  court ,long22@aol.com,married-de-facto,2018-7-31t08:14+00:00, 6    sandy    court ,qld,91,31,80,274,,intermittent-right-shoulder-pain,0
b198089633,ernest,cecil,weaver,m,25, 9  douglas  street ,tsodfdgict@hotmail.com,married,2018-7-31t07:09+00:00, 9    douglas    street ,nsw,55,17,70,224,0,fall,0
b133440875,grant,wakim,battle,m,33, 1  fleming  street ,battle.grant@mail.com.au,not-married,2018-7-31t10:12+00:00, 1    fleming    street ,nt,94,26,79,131,0,cold-hands,0
h177073640,charles,edwin,elkerson,m,23, 46  tenth  avenue ,,not-married,2018-7-31t09:28+00:00, 46    tenth    avenue ,wa,146,51,73,130,0,fall,0
f104371786,elizabeth,cheresesmith,lambert,f,39, 207  gregory  terrace ,lambert.elizabeth@mail.com.au,married,2018-7-31t06:40+00:00, 207    gregory    terrace ,nt,132,55,74,162,,low-energy,0
i121100104,kira,kelly,farmer,f,34, 29  ivanhoe  street ,kira14@gmail.com,married-de-facto,2018-7-31t08:24+00:00, 29    ivanhoe    street ,nsw,46,17,73,184,,chest-pain,0
b154583634,erica,bruss,houston,f,23, 38  beaconsfield  road ,erica13@mail.com,married,2018-7-31t03:26+00:00, 38    beaconsfield    road ,qld,116,42,73,251,,major-stroke,0
b141447229,jarel,,hope,m,32, 123  nursery  avenue ,,married,2018-7-31t22:06+00:00, 123    nursery    avenue ,qld,142,82,79,216,0,neuroma--surgical-removal-in-ball-of-r-foot,0
e195548794,angeles,lynne,murphy-davis,f,34, 5  verdun  street ,murphy-davis88@mail.com,not-married,2018-7-31t04:18+00:00, 5    verdun    street ,tas,113,50,79,201,,upper-respiratory-tract-infection,0
i159395881,christopher,charles,mcswain,m,30, 271  lancaster  road ,christopher.mcswain@aol.com,married-de-facto,2018-7-31t18:08+00:00, 271    lancaster    road ,qld,148,39,75,108,,constipation,0
i174482682,jonathan,george,weston,m,44, 15  inglewood  close ,,not-married,2018-7-31t24:32+00:00, 46    cole    street ,vic,81,27,72,108,0,depressed-mood,0
d119292661,matthew,lyndon,rogers,m,27, inverary  pink  lily ,rogers.matthew@aol.com,married,2018-7-31t16:08+00:00, inverary    pink    lily ,qld,78,27,70,83,0,b/l-ankle-swelling,0
f169820266,jon,thomas,soffe,m,26, 17  park  road ,escaoqskaa@hotmail.com,married,2018-7-31t08:08+00:00, 17    park    road ,vic,58,16,74,185,1,non-productive-cough,0
b173252879,marcus,alexander,smith,m,40, 21  dorrigo  crescent ,smith46@mail.com.au,married,2018-7-31t06:04+00:00, 21    dorrigo    crescent ,nt,126,36,73,85,0,low-energy,0
b106551586,andrew,todd,murphy,m,26, 17  westminster  grove ,andrew77@gmail.com,married,2018-7-31t02:44+00:00, 17    westminster    grove ,vic,113,34,78,287,0,hypothyroidism,0
i121870601,carolyn,lynne,lewis,f,48, 22  first  avenue ,lewis77@mail.com.au,married,2018-7-31t23:16+00:00, 22    first    avenue ,,65,26,77,173,,low-energy,0
e162042742,freeman,van,sanders,m,35, 18  dunbar  street ,sanders.freeman@yahoo.com,not-married,2018-7-31t11:27+00:00, 18    dunbar    street ,act,82,29,76,157,0,headache,0
h173664519,stacy,garrett,carey,m,22, 8  coorella  circuit ,carey7@hotmail.com,married,2018-7-31t14:12+00:00, 8    coorella    circuit ,nsw,55,18,83,329,0,confusion/disoriented/-repeatitiveness,0
f170823488,katara,novak,chrisco,f,33, 60  ramsgate  avenue ,katara.chrisco@gmail.com,married,2018-7-31t21:18+00:00, 60    ramsgate    avenue ,nsw,72,27,75,175,,fall,0
i157175282,ronald,david,mayers,m,47, 8  tuggerah  street ,mayers.ronald@hotmail.com,married-de-facto,2018-7-31t19:34+00:00, 8    tuggerah    street ,nsw,70,23,72,167,,dizziness,0
i142317452,jazette,kay,lancaster,f,29, 9  lomalinda  drive ,gcflcommri@mail.com.au,widowed,2018-7-31t14:16+00:00, 9    lomalinda    drive ,sa,118,37,75,194,,worsening-urinary-frequency,0
d186030951,janda,ann,mcgough,f,25, cotterill  avenue ,lodmmbnhqd@mail.com,married-de-facto,2018-7-31t06:47+00:00, cotterill    avenue ,qld,96,36,83,240,,drowsiness,0
d132718101,joshua,lrev,barbee,m,31, 12  bailey  circuit ,joshua.barbee@mail.com,divorced,2018-7-31t08:39+00:00, 12    bailey    circuit ,nt,56,16,77,38,,middle-finger-right-hand-cyst,0
f180512915,kayla,e,gore,f,62, 41  caravelle  crescent ,qpsdqgdgpg@yahoo.com,married,2018-7-31t21:50+00:00, 41    caravelle    crescent ,vic,107,35,77,208,,dizziness,0
e107358712,albert,edward,coppedge,m,31, 55  stanmore  road ,coppedge.albert@aol.com,married,2018-7-31t07:23+00:00, 55    stanmore    road ,nsw,103,33,68,199,,sleep-disturbance,0
d171662361,alyssa,burns,wells,f,24, 33  windsor  avenue ,alyssa.wells@mail.com.au,married,2018-7-31t20:36+00:00, 33    windsor    avenue ,vic,99,32,74,161,,fall,0
i158120571,joseph,ramirez,Mr,m,29, 32  fernside  avenue  briar    hill  3088  vic ,seawell.joseph@hotmail.com,married-de-facto,2018-7-31t01:37+00:00, 32    fernside    avenue ,vic,92,26,72,197,1,depressed-mood,0
e188241932,marie,coleman,letterman,f,29, 198  maroondah  highway ,marie17@aol.com,married,2018-7-31t03:51+00:00, 198    maroondah    highway ,vic,82,34,73,259,,constipation,0
g117178593,myra,lynn,royster,f,29, 43  gordon  street ,myra.royster@mail.com.au,not-married,2018-7-31t03:13+00:00, 43    gordon    street ,vic,104,46,70,170,,leg-weakness,0
b181443081,anne,shavonne,clayton,f,38, 4  glenn  street ,clayton.anne@mail.com,widowed,2018-7-31t20:18+00:00, 4    glenn    street ,qld,85,36,75,180,,cataracts;-bilat,0
b179566229,stephanie,cartrette,miller,f,22, mcneil  road ,,,2018-7-31t15:46+00:00, mcneil    road ,qld,53,23,75,177,,bunionectomy,0
e190657187,douglas,manley,craft,m,27, 17  chippis  road ,douglas.craft@gmail.com,married,2018-7-31t11:29+00:00, 17    chippis    road ,nt,120,30,76,43,0,headache-post-lp-procedure,0
f160076099,karen,matich,presnell,f,40, 177  wantirna  road ,karen.presnell@mail.com,married,2018-7-31t14:09+00:00, 177    wantirna    road ,vic,129,47,79,119,,nevus-pilonidal-sinus,0
i158746849,ronnie,baku,pacey,m,35, 3  sheoak  drive ,pacey90@gmail.com,not-married,2018-7-31t05:06+00:00, 3    sheoak    drive ,sa,70,21,68,137,0,hand-shaking,0
h154222690,norman,james,hurst,m,23, main  terrace ,hurst42@aol.com,married-de-facto,2018-7-31t21:12+00:00, main    terrace ,nt,124,32,78,175,,coughing,0
h155990128,scott,robert,stewart,m,20, 367  barkly  street ,scott.stewart@hotmail.com,married,2018-7-31t18:31+00:00, 367    barkly    street ,vic,67,24,71,150,,rib-fracture,0
c136326765,ronald,todd,pluckhorn,m,27, 28  brenton  avenue ,ronald.pluckhorn@mail.com.au,married,2018-7-31t10:02+00:00, 28    brenton    avenue ,sa,78,24,82,208,,bilateral-carpal-tunnel-syndrome,0
g191133464,callididas,b,walker,f,51, 43  view  street ,esrgbpshtr@hotmail.com,married,2018-7-31t03:30+00:00, 43    view    street ,nsw,51,16,80,227,,wet-macular-degeneration,0
f184815405,rusty,arthur,barbour,m,27, 26  henry  cotton  drive ,barbour88@mail.com,separated,2018-7-31t23:29+00:00, 26    henry    cotton    drive ,qld,122,40,71,170,0,minor-depressive-mood-following-death-of-her-father,0
c183922804,judy,mercer,peters,f,23, 10  billara  close ,,married,2018-7-31t13:51+00:00, 10    billara    close ,vic,119,,76,196,,knee-stiffness,0
a170258000,joshua,dajuan,miller,m,46, 954  bells  line  of  road ,trbbrocplg@aol.com,married,2018-7-31t07:06+00:00, 954    bells    line    of    road ,nsw,141,44,76,198,0,cough,0
c174142135,clynn,joseph,pitman,m,71, maningrida  street ,clynn.pitman@aol.com,married,2018-7-31t02:40+00:00, maningrida    street ,nt,78,24,83,111,,hip-pain,0
f109835124,dorothy,diane,smith,f,29, 53  campbell  street ,rdldorbiba@gmail.com,not-married,2018-7-31t22:42+00:00, 53    campbell    street ,wa,112,36,72,90,,breathing-problems,0
f161622815,gwendolyn,thorne,lucas,f,35, 46  maurice  terrace ,gwendolyn58@mail.com.au,not-married,2018-7-31t17:25+00:00, 46    maurice    terrace ,nt,96,41,76,245,,shortness-of-breath,0
c135127669,michael,marc,brown,m,23, 97  third  avenue ,michael37@aol.com,,2018-7-31t09:47+00:00, 97    third    avenue ,vic,61,22,77,107,0,bronchitis,0
i108859083,david,carlyle,scott,m,30, 5  curtiss  place ,scott.david@yahoo.com,married,2018-7-31t21:42+00:00, 5    curtiss    place ,nsw,101,36,76,164,0,left-knee-pain,0
i177042575,karen,jean,talton,f,53, 41  st  martins  crescent ,talton.karen@yahoo.com,not-married,2018-7-31t02:39+00:00, 41    st    martins    crescent ,nsw,90,36,72,153,,cholelithiasis,0
